id,created_at,sim_step,sim_time,direction,waiting_time,queue_length,mean_speed,vehicle_count,throughput,congestion_score,tl_state
39927,2026-06-17 06:21:08,99870,99870.0,east,74.842,20,0.923,25,10400,92.08,Srrr
39926,2026-06-17 06:21:08,99870,99870.0,south,73.009,14,10.55,15,7799,72.0,Srrr
39925,2026-06-17 06:21:08,99870,99870.0,north,41.292,4,0.79,8,6760,30.73,Srrr
39924,2026-06-17 06:21:08,99860,99860.0,west,26.908,14,1.213,12,7280,54.68,Nrrr
39923,2026-06-17 06:21:08,99860,99860.0,east,66.843,20,0.164,25,10400,92.64,Nrrr
39922,2026-06-17 06:21:08,99860,99860.0,south,89.939,20,0.219,15,7795,97.84,Nrrr
39921,2026-06-17 06:21:08,99860,99860.0,north,33.922,2,0.669,8,6760,19.96,Nrrr
39920,2026-06-17 06:21:08,99850,99850.0,west,20.11,10,1.49,12,7280,40.07,Nrrr
39919,2026-06-17 06:21:08,99850,99850.0,east,57.552,20,0.013,25,10400,86.74,Nrrr
39918,2026-06-17 06:21:08,99850,99850.0,south,90.634,20,0.528,15,7795,100.0,Nrrr
39917,2026-06-17 06:21:08,99850,99850.0,north,41.278,1,9.337,8,6759,21.21,Nrrr
39916,2026-06-17 06:21:08,99840,99840.0,west,10.998,6,1.012,12,7280,23.84,Nrrr
39915,2026-06-17 06:21:08,99840,99840.0,east,49.716,20,0.59,25,10400,82.11,Nrrr
39914,2026-06-17 06:21:08,99840,99840.0,south,89.868,20,0.694,15,7795,98.54,Nrrr
39913,2026-06-17 06:21:08,99840,99840.0,north,82.003,16,11.788,8,6749,85.54,Nrrr
39912,2026-06-17 06:21:08,99830,99830.0,west,3.095,2,0.438,12,7280,7.2,Wrrr
39911,2026-06-17 06:21:08,99830,99830.0,east,42.882,20,0.059,25,10400,77.54,Wrrr
39910,2026-06-17 06:21:08,99830,99830.0,south,90.379,20,0.482,15,7795,100.0,Wrrr
39909,2026-06-17 06:21:08,99830,99830.0,north,90.408,20,0.037,8,6747,100.0,Wrrr
39908,2026-06-17 06:21:08,99820,99820.0,west,0.174,0,11.475,12,7280,0.0,Wrrr
39907,2026-06-17 06:21:08,99820,99820.0,east,34.212,20,0.802,25,10400,73.55,Wrrr
39906,2026-06-17 06:21:08,99820,99820.0,south,89.614,20,1.138,15,7795,100.0,Wrrr
39905,2026-06-17 06:21:08,99820,99820.0,north,90.905,20,0.504,8,6747,100.0,Wrrr
39904,2026-06-17 06:21:08,99810,99810.0,west,9.852,0,9.249,12,7280,5.93,Wrrr
39903,2026-06-17 06:21:08,99810,99810.0,east,27.232,20,0.228,25,10400,70.6,Wrrr
39902,2026-06-17 06:21:08,99810,99810.0,south,81.545,20,0.311,15,7795,93.85,Wrrr
39901,2026-06-17 06:21:08,99810,99810.0,north,89.123,20,1.204,8,6747,100.0,Wrrr
39900,2026-06-17 06:21:08,99800,99800.0,west,50.419,5,8.857,12,7276,37.2,Wrrr
39899,2026-06-17 06:21:08,99800,99800.0,east,18.3,20,0.678,25,10400,70.85,Wrrr
39898,2026-06-17 06:21:08,99800,99800.0,south,73.779,20,0.462,15,7795,94.52,Wrrr
39897,2026-06-17 06:21:08,99800,99800.0,north,90.171,20,0.137,8,6747,100.0,Wrrr
39896,2026-06-17 06:21:08,99790,99790.0,west,89.118,20,1.195,12,7266,100.0,Errr
39895,2026-06-17 06:21:08,99790,99790.0,east,10.553,11,1.134,25,10400,39.55,Errr
39894,2026-06-17 06:21:08,99790,99790.0,south,63.874,20,0.964,15,7795,87.33,Errr
39893,2026-06-17 06:21:08,99790,99790.0,north,90.264,20,1.198,8,6747,100.0,Errr
39892,2026-06-17 06:21:08,99780,99780.0,west,89.49,20,0.39,12,7266,99.37,Errr
39891,2026-06-17 06:21:08,99780,99780.0,east,3.38,3,0.838,25,10400,8.51,Errr
39890,2026-06-17 06:21:08,99780,99780.0,south,56.537,20,1.186,15,7795,85.47,Errr
39889,2026-06-17 06:21:08,99780,99780.0,north,89.894,20,1.247,8,6747,99.43,Errr
39888,2026-06-17 06:21:08,99770,99770.0,west,89.632,20,0.49,12,7266,100.0,Errr
39887,2026-06-17 06:21:08,99770,99770.0,east,0.0,0,10.409,25,10400,0.86,Errr
39886,2026-06-17 06:21:08,99770,99770.0,south,48.453,20,0.185,15,7795,78.96,Errr
39885,2026-06-17 06:21:08,99770,99770.0,north,90.771,20,0.958,8,6747,100.0,Errr
39884,2026-06-17 06:21:08,99760,99760.0,west,90.789,20,0.603,12,7266,99.78,Errr
39883,2026-06-17 06:21:08,99760,99760.0,east,0.0,0,9.309,25,10400,2.21,Errr
39882,2026-06-17 06:21:08,99760,99760.0,south,41.159,20,0.411,15,7795,75.45,Errr
39881,2026-06-17 06:21:08,99760,99760.0,north,89.339,20,0.337,8,6747,100.0,Errr
39880,2026-06-17 06:21:08,99750,99750.0,west,89.186,20,0.681,12,7266,100.0,Errr
39879,2026-06-17 06:21:08,99750,99750.0,east,0.0,0,12.631,25,10400,0.0,Errr
39878,2026-06-17 06:21:08,99750,99750.0,south,33.624,20,0.664,15,7795,75.62,Errr
39877,2026-06-17 06:21:08,99750,99750.0,north,90.581,20,0.463,8,6747,99.49,Errr
39876,2026-06-17 06:21:08,99740,99740.0,west,84.607,20,0.727,12,7266,96.0,Errr
39875,2026-06-17 06:21:08,99740,99740.0,east,17.557,2,10.271,25,10398,11.6,Errr
39874,2026-06-17 06:21:08,99740,99740.0,south,24.932,16,1.077,15,7795,60.55,Errr
39873,2026-06-17 06:21:08,99740,99740.0,north,89.605,20,1.169,8,6747,100.0,Errr
39872,2026-06-17 06:21:08,99730,99730.0,west,77.173,20,1.394,12,7266,93.04,Errr
39871,2026-06-17 06:21:08,99730,99730.0,east,58.035,12,9.662,25,10388,61.51,Errr
39870,2026-06-17 06:21:08,99730,99730.0,south,16.748,11,0.466,15,7795,37.9,Errr
39869,2026-06-17 06:21:08,99730,99730.0,north,84.317,18,0.869,8,6747,90.65,Errr
39868,2026-06-17 06:21:08,99720,99720.0,west,69.504,20,1.468,12,7266,88.14,Srrr
39867,2026-06-17 06:21:08,99720,99720.0,east,90.315,20,0.83,25,10380,100.0,Srrr
39866,2026-06-17 06:21:08,99720,99720.0,south,9.058,6,1.207,15,7795,22.37,Srrr
39865,2026-06-17 06:21:08,99720,99720.0,north,75.885,16,0.173,8,6747,79.36,Srrr
39864,2026-06-17 06:21:08,99710,99710.0,west,60.123,20,0.915,12,7266,89.0,Srrr
39863,2026-06-17 06:21:08,99710,99710.0,east,89.661,20,0.655,25,10380,97.14,Srrr
39862,2026-06-17 06:21:08,99710,99710.0,south,1.089,1,0.764,15,7795,4.2,Srrr
39861,2026-06-17 06:21:08,99710,99710.0,north,67.417,13,1.323,8,6747,67.54,Srrr
39860,2026-06-17 06:21:08,99700,99700.0,west,53.505,20,0.369,12,7266,81.8,Srrr
39859,2026-06-17 06:21:08,99700,99700.0,east,89.826,20,0.706,25,10380,97.52,Srrr
39858,2026-06-17 06:21:08,99700,99700.0,south,0.426,0,12.759,15,7795,0.0,Srrr
39857,2026-06-17 06:21:08,99700,99700.0,north,59.907,10,0.638,8,6747,54.06,Srrr
39856,2026-06-17 06:21:08,99690,99690.0,west,44.272,20,0.938,12,7266,77.29,Srrr
39855,2026-06-17 06:21:08,99690,99690.0,east,83.783,20,0.331,25,10380,98.11,Srrr
39854,2026-06-17 06:21:08,99690,99690.0,south,25.017,0,12.746,15,7795,8.29,Srrr
39853,2026-06-17 06:21:08,99690,99690.0,north,52.469,7,1.407,8,6747,45.2,Srrr
39852,2026-06-17 06:21:08,99680,99680.0,west,37.319,19,0.551,12,7266,73.46,Srrr
39851,2026-06-17 06:21:08,99680,99680.0,east,75.382,20,1.301,25,10380,95.9,Srrr
39850,2026-06-17 06:21:08,99680,99680.0,south,65.774,12,10.176,15,7786,64.89,Srrr
39849,2026-06-17 06:21:08,99680,99680.0,north,44.13,5,1.326,8,6747,34.29,Srrr
39848,2026-06-17 06:21:08,99670,99670.0,west,28.803,15,0.957,12,7266,56.79,Nrrr
39847,2026-06-17 06:21:08,99670,99670.0,east,67.609,20,0.07,25,10380,87.33,Nrrr
39846,2026-06-17 06:21:08,99670,99670.0,south,90.369,20,1.091,15,7780,100.0,Nrrr
39845,2026-06-17 06:21:08,99670,99670.0,north,36.481,2,0.647,8,6747,23.32,Nrrr
39844,2026-06-17 06:21:08,99660,99660.0,west,21.45,11,0.062,12,7266,40.73,Nrrr
39843,2026-06-17 06:21:08,99660,99660.0,east,60.23,20,0.896,25,10380,89.49,Nrrr
39842,2026-06-17 06:21:08,99660,99660.0,south,90.699,20,0.804,15,7780,99.3,Nrrr
39841,2026-06-17 06:21:08,99660,99660.0,north,34.464,0,11.546,8,6747,17.04,Nrrr
39840,2026-06-17 06:21:08,99650,99650.0,west,12.258,7,0.928,12,7266,25.86,Nrrr
39839,2026-06-17 06:21:08,99650,99650.0,east,52.462,20,0.489,25,10380,84.0,Nrrr
39838,2026-06-17 06:21:08,99650,99650.0,south,90.33,20,0.215,15,7780,99.15,Nrrr
39837,2026-06-17 06:21:08,99650,99650.0,north,73.836,13,8.088,8,6738,70.42,Nrrr
39836,2026-06-17 06:21:08,99640,99640.0,west,4.838,3,0.918,12,7266,10.52,Wrrr
39835,2026-06-17 06:21:08,99640,99640.0,east,44.92,20,0.04,25,10380,78.7,Wrrr
39834,2026-06-17 06:21:08,99640,99640.0,south,89.366,20,0.126,15,7780,99.35,Wrrr
39833,2026-06-17 06:21:08,99640,99640.0,north,89.111,20,0.465,8,6734,97.74,Wrrr
39832,2026-06-17 06:21:08,99630,99630.0,west,0.0,0,10.205,12,7266,0.0,Wrrr
39831,2026-06-17 06:21:08,99630,99630.0,east,36.438,20,0.201,25,10380,76.54,Wrrr
39830,2026-06-17 06:21:08,99630,99630.0,south,90.483,20,1.49,15,7780,98.93,Wrrr
39829,2026-06-17 06:21:08,99630,99630.0,north,89.526,20,0.533,8,6734,99.51,Wrrr
39828,2026-06-17 06:21:08,99620,99620.0,west,1.528,0,11.346,12,7266,0.9,Wrrr
39827,2026-06-17 06:21:08,99620,99620.0,east,28.736,20,0.303,25,10380,71.2,Wrrr
39826,2026-06-17 06:21:08,99620,99620.0,south,82.477,20,0.028,15,7780,95.3,Wrrr
39825,2026-06-17 06:21:08,99620,99620.0,north,90.795,20,0.836,8,6734,98.01,Wrrr
39824,2026-06-17 06:21:08,99610,99610.0,west,41.33,3,10.111,12,7264,29.46,Wrrr
39823,2026-06-17 06:21:08,99610,99610.0,east,20.538,20,0.567,25,10380,70.98,Wrrr
39822,2026-06-17 06:21:08,99610,99610.0,south,74.951,20,0.038,15,7780,94.77,Wrrr
39821,2026-06-17 06:21:08,99610,99610.0,north,89.74,20,0.733,8,6734,100.0,Wrrr
39820,2026-06-17 06:21:08,99600,99600.0,west,81.433,17,8.924,12,7254,85.52,Wrrr
39819,2026-06-17 06:21:08,99600,99600.0,east,12.844,13,0.126,25,10380,42.25,Wrrr
39818,2026-06-17 06:21:08,99600,99600.0,south,65.642,20,1.483,15,7780,86.37,Wrrr
39817,2026-06-17 06:21:08,99600,99600.0,north,90.987,20,0.955,8,6734,100.0,Wrrr
39816,2026-06-17 06:21:08,99590,99590.0,west,89.25,20,0.115,12,7252,99.2,Errr
39815,2026-06-17 06:21:08,99590,99590.0,east,4.948,5,1.271,25,10380,16.0,Errr
39814,2026-06-17 06:21:08,99590,99590.0,south,59.349,20,0.686,15,7780,87.72,Errr
39813,2026-06-17 06:21:08,99590,99590.0,north,90.593,20,0.225,8,6734,100.0,Errr
39812,2026-06-17 06:21:08,99580,99580.0,west,90.301,20,1.444,12,7252,99.3,Errr
39811,2026-06-17 06:21:08,99580,99580.0,east,0.0,0,8.96,25,10380,2.71,Errr
39810,2026-06-17 06:21:08,99580,99580.0,south,51.39,20,0.727,15,7780,85.47,Errr
39809,2026-06-17 06:21:08,99580,99580.0,north,90.399,20,1.444,8,6734,98.62,Errr
39808,2026-06-17 06:21:08,99570,99570.0,west,90.269,20,0.574,12,7252,99.59,Errr
39807,2026-06-17 06:21:08,99570,99570.0,east,0.0,0,12.347,25,10380,2.63,Errr
39806,2026-06-17 06:21:08,99570,99570.0,south,42.076,20,1.495,15,7780,80.63,Errr
39805,2026-06-17 06:21:08,99570,99570.0,north,90.619,20,0.488,8,6734,100.0,Errr
39804,2026-06-17 06:21:08,99560,99560.0,west,89.678,20,0.963,12,7252,97.8,Errr
39803,2026-06-17 06:21:08,99560,99560.0,east,0.442,0,12.042,25,10380,0.0,Errr
39802,2026-06-17 06:21:08,99560,99560.0,south,34.292,20,1.157,15,7780,76.41,Errr
39801,2026-06-17 06:21:08,99560,99560.0,north,90.101,20,1.152,8,6734,99.19,Errr
39800,2026-06-17 06:21:08,99550,99550.0,west,85.489,20,0.408,12,7252,99.97,Errr
39799,2026-06-17 06:21:08,99550,99550.0,east,9.34,0,8.573,25,10380,5.32,Errr
39798,2026-06-17 06:21:08,99550,99550.0,south,26.799,17,1.368,15,7780,63.65,Errr
39797,2026-06-17 06:21:08,99550,99550.0,north,90.923,20,0.356,8,6734,100.0,Errr
39796,2026-06-17 06:21:08,99540,99540.0,west,79.212,20,0.62,12,7252,95.28,Errr
39795,2026-06-17 06:21:08,99540,99540.0,east,49.982,10,8.402,25,10370,49.77,Errr
39794,2026-06-17 06:21:08,99540,99540.0,south,17.625,12,1.378,15,7780,42.6,Errr
39793,2026-06-17 06:21:08,99540,99540.0,north,84.286,19,1.267,8,6734,97.35,Errr
39792,2026-06-17 06:21:08,99530,99530.0,west,71.068,20,0.833,12,7252,88.73,Srrr
39791,2026-06-17 06:21:08,99530,99530.0,east,89.384,20,0.303,25,10360,96.79,Srrr
39790,2026-06-17 06:21:08,99530,99530.0,south,10.86,7,0.378,15,7780,27.49,Srrr
39789,2026-06-17 06:21:08,99530,99530.0,north,77.472,16,1.052,8,6734,82.6,Srrr
39788,2026-06-17 06:21:08,99520,99520.0,west,61.896,20,1.0,12,7252,89.69,Srrr
39787,2026-06-17 06:21:08,99520,99520.0,east,90.212,20,0.271,25,10360,100.0,Srrr
39786,2026-06-17 06:21:08,99520,99520.0,south,2.336,2,1.286,15,7780,6.96,Srrr
39785,2026-06-17 06:21:08,99520,99520.0,north,69.056,13,0.653,8,6734,68.82,Srrr
39784,2026-06-17 06:21:08,99510,99510.0,west,55.111,20,0.736,12,7252,85.24,Srrr
39783,2026-06-17 06:21:08,99510,99510.0,east,90.163,20,1.187,25,10360,99.44,Srrr
39782,2026-06-17 06:21:08,99510,99510.0,south,0.976,0,12.15,15,7780,3.12,Srrr
39781,2026-06-17 06:21:08,99510,99510.0,north,62.098,11,1.277,8,6734,60.59,Srrr
39780,2026-06-17 06:21:08,99500,99500.0,west,46.403,20,0.081,12,7252,78.93,Srrr
39779,2026-06-17 06:21:08,99500,99500.0,east,86.284,20,0.581,25,10360,100.0,Srrr
39778,2026-06-17 06:21:08,99500,99500.0,south,17.248,0,9.07,15,7780,5.38,Srrr
39777,2026-06-17 06:21:08,99500,99500.0,north,53.681,8,0.393,8,6734,45.57,Srrr
39776,2026-06-17 06:21:08,99490,99490.0,west,37.85,19,0.052,12,7252,73.53,Srrr
39775,2026-06-17 06:21:08,99490,99490.0,east,77.417,20,1.169,25,10360,91.99,Srrr
39774,2026-06-17 06:21:08,99490,99490.0,south,58.314,9,10.676,15,7773,53.92,Srrr
39773,2026-06-17 06:21:08,99490,99490.0,north,44.769,5,0.498,8,6734,37.29,Srrr
39772,2026-06-17 06:21:08,99480,99480.0,west,31.224,16,1.203,12,7252,62.7,Nrrr
39771,2026-06-17 06:21:08,99480,99480.0,east,69.317,20,0.07,25,10360,93.06,Nrrr
39770,2026-06-17 06:21:08,99480,99480.0,south,89.367,20,0.792,15,7765,100.0,Nrrr
39769,2026-06-17 06:21:08,99480,99480.0,north,37.002,3,1.054,8,6734,28.42,Nrrr
39768,2026-06-17 06:21:08,99470,99470.0,west,22.285,12,1.337,12,7252,47.71,Nrrr
39767,2026-06-17 06:21:08,99470,99470.0,east,61.879,20,1.474,25,10360,87.83,Nrrr
39766,2026-06-17 06:21:08,99470,99470.0,south,90.167,20,1.078,15,7765,99.33,Nrrr
39765,2026-06-17 06:21:08,99470,99470.0,north,30.372,0,0.378,8,6734,16.45,Nrrr
39764,2026-06-17 06:21:08,99460,99460.0,west,14.89,8,1.27,12,7252,31.43,Nrrr
39763,2026-06-17 06:21:08,99460,99460.0,east,54.034,20,0.478,25,10360,85.75,Nrrr
39762,2026-06-17 06:21:08,99460,99460.0,south,90.179,20,0.856,15,7765,100.0,Nrrr
39761,2026-06-17 06:21:08,99460,99460.0,north,65.584,10,10.406,8,6727,57.19,Nrrr
39760,2026-06-17 06:21:08,99450,99450.0,west,5.606,3,0.187,12,7252,13.29,Wrrr
39759,2026-06-17 06:21:08,99450,99450.0,east,44.623,20,0.748,25,10360,81.8,Wrrr
39758,2026-06-17 06:21:08,99450,99450.0,south,89.123,20,1.385,15,7765,98.78,Wrrr
39757,2026-06-17 06:21:08,99450,99450.0,north,89.41,20,1.221,8,6721,100.0,Wrrr
39756,2026-06-17 06:21:08,99440,99440.0,west,0.639,0,9.914,12,7252,0.0,Wrrr
39755,2026-06-17 06:21:08,99440,99440.0,east,37.984,20,0.745,25,10360,76.69,Wrrr
39754,2026-06-17 06:21:08,99440,99440.0,south,90.963,20,1.018,15,7765,98.26,Wrrr
39753,2026-06-17 06:21:08,99440,99440.0,north,90.443,20,0.936,8,6721,100.0,Wrrr
39752,2026-06-17 06:21:08,99430,99430.0,west,0.0,0,8.351,12,7252,0.24,Wrrr
39751,2026-06-17 06:21:08,99430,99430.0,east,29.896,20,0.078,25,10360,74.23,Wrrr
39750,2026-06-17 06:21:08,99430,99430.0,south,83.544,20,1.181,15,7765,98.86,Wrrr
39749,2026-06-17 06:21:08,99430,99430.0,north,89.275,20,1.39,8,6721,97.78,Wrrr
39748,2026-06-17 06:21:08,99420,99420.0,west,34.732,0,10.105,12,7252,15.87,Wrrr
39747,2026-06-17 06:21:08,99420,99420.0,east,22.263,20,1.018,25,10360,69.83,Wrrr
39746,2026-06-17 06:21:08,99420,99420.0,south,76.631,20,0.735,15,7765,93.42,Wrrr
39745,2026-06-17 06:21:08,99420,99420.0,north,90.503,20,1.006,8,6721,97.71,Wrrr
39744,2026-06-17 06:21:08,99410,99410.0,west,74.38,14,10.998,12,7242,75.8,Wrrr
39743,2026-06-17 06:21:08,99410,99410.0,east,12.788,15,1.127,25,10360,52.26,Wrrr
39742,2026-06-17 06:21:08,99410,99410.0,south,67.494,20,0.244,15,7765,87.95,Wrrr
39741,2026-06-17 06:21:08,99410,99410.0,north,89.737,20,1.257,8,6721,100.0,Wrrr
39740,2026-06-17 06:21:08,99400,99400.0,west,90.635,20,0.313,12,7238,100.0,Errr
39739,2026-06-17 06:21:08,99400,99400.0,east,5.312,6,1.011,25,10360,21.8,Errr
39738,2026-06-17 06:21:08,99400,99400.0,south,60.184,20,1.19,15,7765,89.05,Errr
39737,2026-06-17 06:21:08,99400,99400.0,north,89.327,20,0.624,8,6721,99.67,Errr
39736,2026-06-17 06:21:08,99390,99390.0,west,89.357,20,0.746,12,7238,100.0,Errr
39735,2026-06-17 06:21:08,99390,99390.0,east,0.136,0,9.678,25,10360,2.98,Errr
39734,2026-06-17 06:21:08,99390,99390.0,south,52.788,20,1.462,15,7765,82.6,Errr
39733,2026-06-17 06:21:08,99390,99390.0,north,90.711,20,0.714,8,6721,100.0,Errr
39732,2026-06-17 06:21:08,99380,99380.0,west,90.063,20,1.344,12,7238,100.0,Errr
39731,2026-06-17 06:21:08,99380,99380.0,east,0.0,0,12.171,25,10360,0.0,Errr
39730,2026-06-17 06:21:08,99380,99380.0,south,43.067,20,0.58,15,7765,79.6,Errr
39729,2026-06-17 06:21:08,99380,99380.0,north,90.682,20,1.141,8,6721,98.88,Errr
39728,2026-06-17 06:21:08,99370,99370.0,west,90.263,20,1.452,12,7238,99.23,Errr
39727,2026-06-17 06:21:08,99370,99370.0,east,0.0,0,8.563,25,10360,2.53,Errr
39726,2026-06-17 06:21:08,99370,99370.0,south,35.466,20,0.328,15,7765,75.08,Errr
39725,2026-06-17 06:21:08,99370,99370.0,north,90.619,20,0.418,8,6721,98.18,Errr
39724,2026-06-17 06:21:08,99360,99360.0,west,88.634,20,0.128,12,7238,98.92,Errr
39723,2026-06-17 06:21:08,99360,99360.0,east,2.31,0,9.93,25,10360,1.74,Errr
39722,2026-06-17 06:21:08,99360,99360.0,south,28.161,18,0.158,15,7765,66.86,Errr
39721,2026-06-17 06:21:08,99360,99360.0,north,89.354,20,0.626,8,6721,99.75,Errr
39720,2026-06-17 06:21:08,99350,99350.0,west,80.275,20,0.617,12,7238,97.25,Errr
39719,2026-06-17 06:21:08,99350,99350.0,east,42.637,8,9.953,25,10352,43.39,Errr
39718,2026-06-17 06:21:08,99350,99350.0,south,19.373,13,0.465,15,7765,46.28,Errr
39717,2026-06-17 06:21:08,99350,99350.0,north,86.617,19,1.323,8,6721,94.94,Errr
39716,2026-06-17 06:21:08,99340,99340.0,west,71.596,20,1.219,12,7238,93.1,Errr
39715,2026-06-17 06:21:08,99340,99340.0,east,81.038,18,10.789,25,10342,88.61,Errr
39714,2026-06-17 06:21:08,99340,99340.0,south,11.729,8,0.639,15,7765,30.59,Errr
39713,2026-06-17 06:21:08,99340,99340.0,north,77.831,17,0.979,8,6721,87.04,Errr
39712,2026-06-17 06:21:08,99330,99330.0,west,64.718,20,1.156,12,7238,87.11,Srrr
39711,2026-06-17 06:21:08,99330,99330.0,east,90.665,20,1.165,25,10340,99.56,Srrr
39710,2026-06-17 06:21:08,99330,99330.0,south,3.788,3,0.534,15,7765,12.89,Srrr
39709,2026-06-17 06:21:08,99330,99330.0,north,70.886,14,0.642,8,6721,74.21,Srrr
39708,2026-06-17 06:21:08,99320,99320.0,west,55.506,20,0.145,12,7238,83.95,Srrr
39707,2026-06-17 06:21:08,99320,99320.0,east,90.147,20,1.135,25,10340,100.0,Srrr
39706,2026-06-17 06:21:08,99320,99320.0,south,0.0,0,11.435,15,7765,1.72,Srrr
39705,2026-06-17 06:21:08,99320,99320.0,north,62.849,11,0.592,8,6721,61.7,Srrr
39704,2026-06-17 06:21:08,99310,99310.0,west,48.452,20,0.931,12,7238,81.58,Srrr
39703,2026-06-17 06:21:08,99310,99310.0,east,87.622,20,0.079,25,10340,100.0,Srrr
39702,2026-06-17 06:21:08,99310,99310.0,south,9.309,0,12.639,15,7765,1.2,Srrr
39701,2026-06-17 06:21:08,99310,99310.0,north,54.492,9,0.636,8,6721,53.87,Srrr
39700,2026-06-17 06:21:08,99300,99300.0,west,40.91,20,0.549,12,7238,79.24,Srrr
